Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Detective Mask 名探偵マスク,@DetectiveMask,2025-05-17T22:58:45.000Z,False,Baby Frankie from this 2001 Kiko Pangilinan ad is now a graduate in a US university.#Halalan2025,0,5,17,882,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1953317529147064321/FvP6R5yU_bigger.jpg,https://x.com/DetectiveMask/status/1923875867077509411,tweet_id:1923875867077509411
WR Numero,@WR_Numero,2025-06-02T09:35:42.000Z,False," WATCH OUT: WR Numero President & CEO Cleve V. Arguelles joins The View from Manila with Richard Heydarian to discuss the outcome of #Halalan2025 and the upcoming impeachment trial of VP Sara Duterte 

Watch out for the full episode! ",2,3,9,2.9K,['#Halalan2025'],[],"['\\U0001f3a5', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1943273769960652800/Sg7F31bQ_bigger.jpg,https://x.com/WR_Numero/status/1929471977988718802,tweet_id:1929471977988718802
Job Manahan,@manahan_job,2025-07-10T06:58:26.000Z,False,"Comelec Chairman George Garcia says he is ""not afraid"" and instead welcomed the criminal complaints filed against him at  NBI by bishops, civic leaders regarding #Halalan2025. 

""Handa tayong humarap at magbigay ng dokumento sa kung sino man po ang mag-iimbestiga."" ",1,0,2,148,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1831220050222821376/4_wYzkv9_bigger.jpg,https://x.com/manahan_job/status/1943203139278246294,tweet_id:1943203139278246294
The LaSallian,@TheLaSallian,2025-06-28T05:48:39.000Z,False,"HAPPENING NOW: Electoral experts, researchers, and sector advocates discuss #Halalan2025 results and their future implications in ""VoteReal: A Post-Elections Reality Check,"" organized by the USG OVPEA and COSCA, at the sixth floor of the Learning Commons.",0,0,1,466,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1938836923776409782,tweet_id:1938836923776409782
Jesus Falcis,@jesusfalcis,2025-07-21T10:52:34.000Z,True,"Avenger’s Assemble ng progressive politics which includes non-politicians like Prof. Cielo Magno and Christian Esguerra!

Kaso, walang Kiko-Bam. Sadge.#Akbayan#Halalan2025",48,91,571,28K,"['#Akbayan', '#Halalan2025']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1947248330011984031,tweet_id:1947248330011984031
The LaSallian,@TheLaSallian,2025-05-19T09:13:17.000Z,False,"BREAKING: A total of 52 party-lists were proclaimed by the Commission on Elections today, May 19, following #Halalan2025. Opposition group Akbayan topped the polls, securing three seats in the House of Representatives for the 20th Congress.",1,1,3,1.2K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1924392910167953677,tweet_id:1924392910167953677
Jesus Falcis,@jesusfalcis,2025-07-29T09:56:39.000Z,True,"DDS Senators Imee Marcos, Robin Padilla, and Bong Go each get 3 Committee Chairmanships.

Kiko Pangilinan and Bam Aquino only get 1 each. Kahit sa Majority Bloc, may discrimination and favoritism.

Yan ang Chiz Whiz magic! #Halalan2025",74,436,3.1K,180K,['#Halalan2025'],[],['\\U0001f44a'],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1950133362322002293,tweet_id:1950133362322002293
Jervis Manahan,@JervisManahan,2025-05-16T01:21:38.000Z,False,"Snaps from our #Halalan2025 thanksgiving party last night. Meaningful way to celebrate our hard work and successful coverage of the recent elections, especially with all the people who worked off cam to bring you the news. So happy to see everyone. Iba talaga ang tatak Kapamilya!",6,15,272,5.7K,['#Halalan2025'],[],[],https://pbs.twimg.com/profile_images/1967536142733246464/zrZznV2b_bigger.jpg,https://x.com/JervisManahan/status/1923187050208989436,tweet_id:1923187050208989436
The LaSallian,@TheLaSallian,2025-06-23T04:01:48.000Z,False,"NatSit: PDP-Laban filed a petition before the Supreme Court for a manual recount of the #Halalan2025 senatorial votes, citing alleged irregularities, including discrepancies in voter receipts. | via ",1,0,1,512,['#Halalan2025'],['@ABSCBNNews'],[],https://pbs.twimg.com/profile_images/1962397865210503168/_LpICsvz_bigger.jpg,https://x.com/TheLaSallian/status/1936998096405430626,tweet_id:1936998096405430626
Jesus Falcis,@jesusfalcis,2025-06-30T05:08:47.000Z,True,"Good news: Unang araw ni Kiko-Bam as Senators.

Bad news: Unang araw din ni Marcoleta and Camille Villar.#Halalan2025#AssumptionOfOffice",19,163,1.3K,29K,"['#Halalan2025', '#AssumptionOfOffice']",[],[],https://pbs.twimg.com/profile_images/822541032084688896/BgXtfmoR_bigger.jpg,https://x.com/jesusfalcis/status/1939551667873370481,tweet_id:1939551667873370481
